episode,alpha = 0.9,alpha = 0.7,alpha = 0.5
59.0,12.91441272354987,1.1346906259090828,0.0
60.0,13.76188415673072,0.0,0.0
61.0,14.692745646403953,0.0,0.0
62.0,14.671126768036899,0.0,0.0
63.0,14.314820368618578,0.0,0.0
64.0,15.43129954218494,0.0,0.0
65.0,16.272018498324453,0.0,0.47019326117518623
66.0,17.726389443825855,0.0,2.187623278180886
67.0,18.852773526259874,0.0,3.647850178825038
68.0,20.275195956048265,0.0,3.4788762785419562
69.0,20.079600524285837,0.0,3.315802503823108
70.0,19.88590289678306,1.4682893821606255,2.762818890629727
71.0,19.64232044769765,2.5144842992857863,2.5730448791412335
72.0,18.811012679294837,2.2866965896112643,2.8653821139857345
73.0,17.542043367020405,3.314732248288435,2.172978716930785
74.0,18.053142049461233,4.1039233728492315,3.8361295784176352
75.0,17.70048749124023,5.4255433101619275,5.616871599749502
76.0,16.925920482136256,5.500054943613484,6.160848316317785
77.0,15.846239809719473,5.32683054559816,6.910676952761536
78.0,15.700552310693793,5.331155570846611,7.004272431194384
79.0,16.35775039916087,4.824801347681111,7.775789053449839
80.0,18.324736059801495,5.7186204423800095,8.808490758465345
81.0,20.751764133103226,7.011314350002357,8.939296553335238
82.0,22.26075508176161,7.771075742618034,9.513061817984681
83.0,22.916156439188022,8.416738422404418,8.890248831603385
84.0,24.436685063363786,8.911488987795355,7.3631604712937975
85.0,24.435791039683846,8.273321906441643,6.789562115732293
86.0,26.073162621303467,8.931781559412865,6.739698613681201
87.0,27.348340650645056,7.66289735667665,7.199106124470379
88.0,27.740052747123624,7.402163073007453,7.2397635901428075
89.0,27.187571288174016,7.386152564074005,6.297085691474773
90.0,27.258749839032987,7.976240336552331,6.193101338728808
91.0,26.365629340165462,8.290072484640294,6.001078002114157
92.0,25.18247099002836,8.926617573199914,5.478156696653607
93.0,23.58875273189085,9.651637305036413,5.6353752585370245
94.0,23.628649426991615,12.47458503211525,6.253621288944605
95.0,21.72856290757626,14.423195116287479,6.970051396378848
96.0,20.06134013594284,17.79662767439357,7.784548023452295
97.0,18.74282446333186,20.82783768106527,7.830229787198367
98.0,17.89340023508542,23.30922078612843,9.12797617581343
99.0,16.72936853968871,24.92073722333145,10.191370848527203
100.0,17.247143451588244,26.169620187072777,11.125956578849948
101.0,16.949274476541383,26.655112468011826,11.516513821224125
102.0,18.298015222047283,26.64143800958795,11.588713723543005
103.0,19.507943934932094,26.01197222449827,11.679298213670009
104.0,21.191501434680905,26.277265228710103,9.59663869010491
105.0,23.524593604026702,26.743245444397832,7.985264189566137
106.0,25.26046238025835,26.532299152138425,6.947131949388052
107.0,27.07888313479152,26.321254274485035,5.558030732799849
108.0,29.05798065550653,26.151935207327014,4.516592372157208
109.0,30.151281123807383,25.97020832555035,4.704334510503288
110.0,31.08710649422639,25.8503316582677,5.301117151933198
111.0,31.091720718289487,24.872423076274657,5.732840772031527
112.0,31.595501020275364,23.708115001882007,5.36300708387139
113.0,32.507042524571595,21.89691152837679,6.022070925039051
114.0,32.93447929681292,20.942437352100264,5.681015680707598
115.0,33.90891410636888,19.93905361439281,5.6599766960032865
116.0,33.903992047095834,19.107466587266927,6.252154974727949
117.0,33.53993506641459,18.794630630470657,6.7186640464866345
118.0,33.00181530497945,18.06455357390655,7.021589970699714
119.0,33.63683360247868,17.51504381952873,7.3967145982006315
120.0,33.27782964457345,18.13010247761335,7.472297750500385
121.0,32.98548905349323,19.369786574413983,8.23246681177219
122.0,33.94526202530201,20.41547384488121,9.380168127552468
123.0,33.737486483504945,21.497591256534363,10.554048109998892
124.0,33.26398745222693,23.869968740100678,10.715825714588398
125.0,32.615105622737936,25.72029075488347,10.08705838159364
126.0,32.24387223735245,26.926180901755636,8.895338406549937
127.0,33.09490109439478,28.09147345624515,7.506393937328031
128.0,35.321429109713335,28.15342054704371,7.203440082069404
129.0,38.047474802594785,27.77926897892512,7.0869955627995544
130.0,40.911316424876134,27.227396525772537,6.980477991792773
131.0,42.48473956383138,27.89257597798874,6.704201258297122
132.0,44.34753457816187,27.528668535208833,8.238445107609728
133.0,46.07574630840119,27.061119448219284,10.362656570692002
134.0,48.73136127506387,25.83855463842197,11.653869765608812
